12:19:12.593 [AWT-EventQueue-0] INFO  c.b.actions.DisableBrowserStack - Setting disable browserstack run update
07:41:12.338 [ApplicationImpl pooled thread 359] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
08:55:47.628 [ApplicationImpl pooled thread 401] INFO  c.b.l.BrowserStackRunExtension - testng
08:55:47.628 [ApplicationImpl pooled thread 401] INFO  com.browserstack.utils.Helpers - true
08:55:47.628 [ApplicationImpl pooled thread 401] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
09:08:14.136 [ApplicationImpl pooled thread 416] INFO  c.b.l.BrowserStackRunExtension - testng
09:08:14.137 [ApplicationImpl pooled thread 416] INFO  com.browserstack.utils.Helpers - true
09:08:14.137 [ApplicationImpl pooled thread 416] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
09:11:20.848 [ApplicationImpl pooled thread 402] INFO  c.b.l.BrowserStackRunExtension - testng
09:11:20.848 [ApplicationImpl pooled thread 402] INFO  com.browserstack.utils.Helpers - true
09:11:20.848 [ApplicationImpl pooled thread 402] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
09:16:21.309 [ApplicationImpl pooled thread 426] INFO  c.b.l.BrowserStackRunExtension - testng
09:16:21.310 [ApplicationImpl pooled thread 426] INFO  com.browserstack.utils.Helpers - true
09:16:21.310 [ApplicationImpl pooled thread 426] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
09:20:03.347 [ApplicationImpl pooled thread 402] INFO  c.b.l.BrowserStackRunExtension - testng
09:20:03.347 [ApplicationImpl pooled thread 402] INFO  com.browserstack.utils.Helpers - true
09:20:03.347 [ApplicationImpl pooled thread 402] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
10:29:53.378 [ApplicationImpl pooled thread 460] INFO  c.b.l.BrowserStackRunExtension - testng
10:29:53.379 [ApplicationImpl pooled thread 460] INFO  com.browserstack.utils.Helpers - true
10:29:53.379 [ApplicationImpl pooled thread 460] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
10:40:37.240 [ApplicationImpl pooled thread 474] INFO  c.b.l.BrowserStackRunExtension - testng
10:40:37.241 [ApplicationImpl pooled thread 474] INFO  com.browserstack.utils.Helpers - true
10:40:37.242 [ApplicationImpl pooled thread 474] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:41:52.063 [ApplicationImpl pooled thread 523] INFO  c.b.l.BrowserStackRunExtension - testng
11:41:52.064 [ApplicationImpl pooled thread 523] INFO  com.browserstack.utils.Helpers - true
11:41:52.064 [ApplicationImpl pooled thread 523] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:29:48.238 [ApplicationImpl pooled thread 556] INFO  c.b.l.BrowserStackRunExtension - testng
12:29:48.238 [ApplicationImpl pooled thread 556] INFO  com.browserstack.utils.Helpers - true
12:29:48.238 [ApplicationImpl pooled thread 556] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:30:55.782 [ApplicationImpl pooled thread 549] INFO  c.b.l.BrowserStackRunExtension - testng
12:30:55.783 [ApplicationImpl pooled thread 549] INFO  com.browserstack.utils.Helpers - true
12:30:55.783 [ApplicationImpl pooled thread 549] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:33:09.827 [ApplicationImpl pooled thread 545] INFO  c.b.l.BrowserStackRunExtension - testng
12:33:09.828 [ApplicationImpl pooled thread 545] INFO  com.browserstack.utils.Helpers - true
12:33:09.828 [ApplicationImpl pooled thread 545] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:33:38.147 [ApplicationImpl pooled thread 549] INFO  c.b.l.BrowserStackRunExtension - testng
12:33:38.147 [ApplicationImpl pooled thread 549] INFO  com.browserstack.utils.Helpers - true
12:33:38.148 [ApplicationImpl pooled thread 549] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:37:12.114 [ApplicationImpl pooled thread 549] INFO  c.b.l.BrowserStackRunExtension - testng
12:37:12.115 [ApplicationImpl pooled thread 549] INFO  com.browserstack.utils.Helpers - true
12:37:12.115 [ApplicationImpl pooled thread 549] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:39:05.830 [ApplicationImpl pooled thread 549] INFO  c.b.l.BrowserStackRunExtension - testng
